OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
KUIPER-00008,2025-088A,2025-11-17T21:10:13.999958,15.00083167,.0011427,51.8903,236.6723,90.0735,51.0450,0,C,63724,321,1,-.33227E-3,-.42013E-4,0,0.262,Kuiper-E
KUIPER-00009,2025-088B,2025-11-17T21:21:36.999994,14.80380644,.0013395,51.9011,240.9279,88.1665,325.7383,0,C,63725,321,1,-.55818E-3,-.43162E-4,0,0.241,Kuiper-E
KUIPER-00010,2025-088C,2025-11-18T00:02:05.999971,14.80254641,.0012469,51.9003,216.9405,130.4287,180.0438,0,C,63726,322,1,.87786E-4,.67671E-5,0,0.230,Kuiper-E
KUIPER-00011,2025-088D,2025-11-18T00:38:01.999997,14.79914306,.0014708,51.8990,224.4332,103.3612,190.6632,0,C,63727,322,1,.18403E-3,.1408E-4,0,0.229,Kuiper-E
KUIPER-00012,2025-088E,2025-11-17T23:55:10.000042,14.89876378,.0009606,51.8942,207.9220,113.8334,195.2958,0,C,63728,321,1,.35273E-3,.34361E-4,0,0.233,Kuiper-E
KUIPER-00013,2025-088F,2025-11-18T00:19:34.999997,14.79956180,.0008359,51.9009,241.9136,23.2806,302.5658,0,C,63729,322,1,-.16575E-3,-.12676E-4,0,0.228,Kuiper-E
KUIPER-00014,2025-088G,2025-11-18T00:14:32.000035,14.79918389,.0009679,51.9017,242.8984,82.0355,234.1912,0,C,63730,322,1,-.24878E-3,-.19013E-4,0,0.228,Kuiper-E
KUIPER-00015,2025-088H,2025-11-17T23:10:38.000035,14.81756193,.0011044,51.8988,254.4226,69.6174,343.0378,0,C,63731,321,1,-.31151E-3,-.24883E-4,0,0.242,Kuiper-E
KUIPER-00016,2025-088J,2025-11-18T00:16:38.000006,14.79959093,.0013457,51.8999,245.4354,58.2938,279.8704,0,C,63732,322,1,-.29329E-3,-.22454E-4,0,0.231,Kuiper-E
KUIPER-00018,2025-088K,2025-11-17T21:09:04.999968,14.79958405,.0013641,51.9012,234.9627,78.5135,218.5198,0,C,63733,321,1,-.35857E-3,-.27451E-4,0,0.246,Kuiper-E
KUIPER-00019,2025-088L,2025-11-17T22:24:36.000000,14.79916478,.0009906,51.8990,233.2829,90.5295,120.8044,0,C,63734,321,1,.27267E-2,.20851E-3,0,0.562,Kuiper-E
KUIPER-00020,2025-088M,2025-11-17T20:18:09.999994,14.79950459,.000869,51.9002,237.6335,69.7065,61.8600,0,C,63735,321,1,-.27011E-3,-.20656E-4,0,0.244,Kuiper-E
KUIPER-00021,2025-088N,2025-11-17T20:35:05.999971,14.79957958,.0007643,51.9001,238.5983,71.2088,123.5017,0,C,63736,321,1,-.35214E-3,-.26929E-4,0,0.246,Kuiper-E
KUIPER-00023,2025-088P,2025-11-17T20:21:06.999984,14.79975311,.0012033,51.8998,240.1080,88.8949,60.0855,0,C,63737,321,1,-.30992E-2,-.23716E-3,0,0.227,Kuiper-E
KUIPER-00024,2025-088Q,2025-11-18T01:08:08.000016,14.79603300,.0005242,51.9023,226.6710,85.5029,22.9152,0,C,63738,322,1,.22977E-3,.17421E-4,0,0.237,Kuiper-E
KUIPER-00025,2025-088R,2025-11-17T22:43:04.999987,14.80473388,.0009863,51.8998,235.6647,67.3218,260.7562,0,C,63739,321,1,-.2112E-3,-.16357E-4,0,0.238,Kuiper-E
KUIPER-00027,2025-088S,2025-11-17T20:37:37.000042,14.79774094,.0005228,51.9008,229.9972,141.6499,56.5813,0,C,63740,321,1,-.40775E-3,-.31037E-4,0,0.243,Kuiper-E
KUIPER-00028,2025-088T,2025-11-18T00:47:10.000032,14.79532604,.0004421,51.8996,227.2190,160.6686,144.7675,0,C,63741,322,1,.13177E-3,.99732E-5,0,0.229,Kuiper-E
